Restaurant_ ID,Country_Code,Longitude,Latitude,Average_Cost_for_two,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Switch_to_order_menu,Price_range,Aggregate_rating,Rating_color,Rating_text,Votes,Restaurant_name,City,Address,Locality,Locality_verbose,Cuisines,Currency
6309903,162,121.057916,14.567689,800,0,0,0,0,3,4.9,Dark Green,Excellent,1070,Silantro FilMex,Pasig City,75 East Capitol Drive Kapitolyo Pasig City,Kapitolyo,Kapitolyo Pasig City,Filipino Mexican,Botswana PulaP
6309455,162,121.06082,14.570849,900,1,0,0,0,3,4.2,Green,Very Good,488,Mad MarkS Creamery  Good Eats,Pasig City,23 East Capitol Drive Kapitolyo Pasig City,Kapitolyo,Kapitolyo Pasig City,American Ice Cream Desserts,Botswana PulaP
6318433,162,121.075419,14.649503,800,0,0,0,0,3,4.8,Dark Green,Excellent,294,Silantro FilMex,Quezon City,Second Floor Up Town Center Katipunan Avenue Diliman Quezon City,Up Town Center Diliman Quezon City,Up Town Center Diliman Quezon City Quezon City,Filipino Mexican,Botswana PulaP
6310470,162,121.0335917,14.59345,1000,1,0,0,0,3,4.2,Green,Very Good,458,GuevarraS,San Juan City,387 P Guevarra Corner Argonne Street Addition Hills San Juan City,Addition Hills,Addition Hills San Juan City,Filipino,Botswana PulaP
6314605,162,121.03811,14.59889,700,0,0,0,0,3,4.3,Green,Very Good,223,Sodam Korean Restaurant,San Juan City,17 J Abad Santos Drive Little Baguio San Juan City,Little Baguio,Little Baguio San Juan City,Korean,Botswana PulaP
18185059,162,121.05704,14.237082,800,0,0,0,0,3,3.6,Yellow,Good,29,Cafe Arabelle,Santa Rosa,Ayala Mall Solenad Nuvali Santa Rosa  Tagaytay Road Don Jose Santa Rosa,Nuvali Don Jose Santa Rosa,Nuvali Don Jose Santa Rosa Santa Rosa,Cafe American Italian Filipino,Botswana PulaP
18182702,162,121.0565874,14.23767897,850,0,0,0,0,3,4,Green,Very Good,72,NonnaS Pasta  Pizzeria,Santa Rosa,Ground Floor Building G Solenad 3 Nuvali Don Jose Santa Rosa,Solenad 3 Don Jose Santa Rosa,Solenad 3 Don Jose Santa Rosa Santa Rosa,Italian Pizza,Botswana PulaP
6318213,162,120.951589,14.101834,1200,1,0,0,0,3,4.5,Dark Green,Excellent,211,Balay Dako,Tagaytay City,Aguinaldo Highway Tagaytay City,Tagaytay City,Tagaytay City Tagaytay City,Filipino,Botswana PulaP
18255654,162,121.045878,14.55436,600,0,0,0,0,2,4.5,Dark Green,Excellent,118,Hobing Korean Dessert Cafe,Taguig City,Third Floor Bgc Stopover Pavillion Rizal Drive Corner 31St Street Bonifacio Global City Taguig City,Bgc Stopover Pavillion Bonifacio Global City,Bgc Stopover Pavillion Bonifacio Global City Taguig City,Cafe Korean Desserts,Botswana PulaP
6308205,162,121.04622,14.549337,1500,1,0,0,0,4,4.4,Green,Very Good,392,Wildflour Cafe  Bakery,Taguig City,Ground Floor Netlima Building 4Th Avenue Corner 26Th Street Bonifacio Global City Taguig City,Bonifacio Global City,Bonifacio Global City Taguig City,Cafe Bakery American Italian,Botswana PulaP
6315438,162,121.053725,14.545858,3000,1,0,0,0,4,4.7,Dark Green,Excellent,535,Niu By Vikings,Taguig City,Sixth Floor Sm Aura Premier C5 Road Corner 26Th Street Bonifacio Global City Taguig City,Sm Aura Premier Bonifacio Global City Taguig City,Sm Aura Premier Bonifacio Global City Taguig City Taguig City,Seafood American Mediterranean Japanese,Botswana PulaP
6310406,162,121.0534998,14.54565535,1800,1,0,0,0,4,4.5,Dark Green,Excellent,618,The Food Hall By Todd English,Taguig City,Fifth Floor Sm Aura Premier C5 Corner 26Th Street Bonifacio Global City Taguig City,Sm Aura Premier Bonifacio Global City Taguig City,Sm Aura Premier Bonifacio Global City Taguig City Taguig City,American Asian Italian Seafood,Botswana PulaP
6600681,30,-47.88178889,-15.76414167,55,0,0,0,0,2,3,Orange,Average,6,Chez Michou,BrasLia,Scln 208 Bloco A Loja 30 Asa Norte BrasLia,Asa Norte,Asa Norte BrasLia,Fast Food French,Brazilian RealR
6601005,30,-47.88266667,-15.7775,30,0,0,0,0,1,3.8,Yellow,Good,9,Caf Daniel Briand,BrasLia,Scln 104 Bloco A Loja 26 Asa Norte BrasLia,Asa Norte,Asa Norte BrasLia,Cafe,Brazilian RealR
6600292,30,-47.88213611,-15.75747222,45,0,0,0,0,2,3.7,Yellow,Good,11,Casa Do Biscoito Mineiro,BrasLia,Scln 210 Bloco D Loja 3648 Asa Norte BrasLia,Asa Norte,Asa Norte BrasLia,Bakery,Brazilian RealR
6600441,30,-47.88816667,-15.75883333,60,0,0,0,0,3,3.8,Yellow,Good,11,Maori,BrasLia,Cln 110 Bloco D Loja 28 Asa Norte BrasLia,Asa Norte,Asa Norte BrasLia,Brazilian,Brazilian RealR
6600970,30,-47.91566667,-15.83116667,50,0,0,0,0,2,3.2,Orange,Average,11,Pizza  Bessa,BrasLia,Scs 214 Bloco C Loja 40 Asa Sul BrasLia,Asa Sul,Asa Sul BrasLia,Pizza,Brazilian RealR
6600379,30,-47.91566667,-15.831,80,0,0,0,0,3,3.1,Orange,Average,10,Sushi Loko,BrasLia,Scs 213 Bloco C Loja 35 Asa Sul BrasLia,Asa Sul,Asa Sul BrasLia,Japanese,Brazilian RealR
6600214,30,-47.9075,-15.82,90,0,0,0,0,3,3.7,Yellow,Good,8,Beirute,BrasLia,Cls 109 Bloco A Loja 26 Asa Sul BrasLia,Asa Sul,Asa Sul BrasLia,Arabian,Brazilian RealR
6601218,30,-47.91016667,-15.82733333,200,0,0,0,0,4,3.7,Yellow,Good,5,New Koto,BrasLia,Scs 212 Bloco B Loja 26 Asa Sul BrasLia,Asa Sul,Asa Sul BrasLia,Japanese,Brazilian RealR
6600060,30,-47.89016667,-15.797,30,0,0,0,0,1,0,White,Not Rated,2,Sandubas Caf,BrasLia,EdifCio Jos Severo Scs 6 Bloco A Loja 99 Asa Sul BrasLia,Asa Sul,Asa Sul BrasLia,Brazilian Cafe,Brazilian RealR
6600083,30,-47.92366667,-15.83133333,150,0,0,0,0,4,4.1,Green,Very Good,12,Villa Tevere,BrasLia,Cls 115 Bloco A Loja 2 Asa Sul BrasLia,Asa Sul,Asa Sul BrasLia,Italian,Brazilian RealR
6601515,30,-48.019,-15.83716667,100,0,0,0,0,4,3.1,Orange,Average,9,Rovereto,BrasLia,Rua 13 Norte Lote 4 Guas Claras BrasLia,Guas Claras,Guas Claras BrasLia,Pizza,Brazilian RealR
6601361,30,-48.01909167,-15.839775,60,0,0,0,0,3,3.6,Yellow,Good,9,Buena Carne,BrasLia,Avenida AraucRias 1325 Loja 19 Guas Claras BrasLia,Guas Claras,Guas Claras BrasLia,Bar Food Brazilian,Brazilian RealR
6601602,30,-48.01666667,-15.83483333,100,0,0,0,0,4,4.3,Green,Very Good,29,Taco Pep,BrasLia,Vila Malls Avenida Das Castanheiras Lote 1060 Guas Claras BrasLia,Guas Claras,Guas Claras BrasLia,Mexican Grill,Brazilian RealR
6601589,30,-47.889,-15.7865,230,0,0,0,0,4,4.2,Green,Very Good,17,Coco Bambu,BrasLia,BrasLia Shopping  Piso 2 Scn 5 Bloco A Asa Norte BrasLia,BrasLia Shopping Asa Norte,BrasLia Shopping Asa Norte BrasLia,International,Brazilian RealR
6601862,30,-47.872359,-15.860621,100,0,0,0,0,4,3.6,Yellow,Good,5,Tayp,BrasLia,Fashion Park Shis Ql 17 Bloco G Loja 208 Lago Sul BrasLia,Lago Sul,Lago Sul BrasLia,Peruvian Latin American,Brazilian RealR
6601595,30,-47.95628333,-15.83451389,150,0,0,0,0,4,4,Green,Very Good,10,Outback Steakhouse,BrasLia,Parkshopping  Piso 2 SaiSo Rea 6580 Guar I BrasLia,Parkshopping Guar I,Parkshopping Guar I BrasLia,American Grill,Brazilian RealR
6601158,30,-47.87283333,-15.82566667,240,0,0,0,0,4,3.2,Orange,Average,6,Manzu,BrasLia,PontO Lago Sul Shis 10 Lote 9 Lago Sul BrasLia,PontO Lago Sul Lago Sul,PontO Lago Sul Lago Sul BrasLia,Seafood,Brazilian RealR
6600427,30,-47.8685,-15.819,230,0,0,0,0,4,4.9,Dark Green,Excellent,30,Coco Bambu,BrasLia,Sces Trecho 2 Conjunto 1336 Setor De Clubes Esportivos Sul BrasLia,Setor De Clubes Esportivos Sul,Setor De Clubes Esportivos Sul BrasLia,International,Brazilian RealR
6600116,30,-47.885812,-15.720118,350,0,0,0,0,4,3.3,Orange,Average,8,Gero,BrasLia,Shopping Iguatemi  Piso 1 Shin Ca 4 Lote A Lago Norte BrasLia,Shopping Iguatemi Lago Norte,Shopping Iguatemi Lago Norte BrasLia,Italian,Brazilian RealR
6601457,30,-47.92102778,-15.79753056,50,0,0,0,0,2,3.6,Yellow,Good,9,Brazilian American Burgers,BrasLia,Clsn 301 Bloco C Loja 86 Sudoeste BrasLia,Sudoeste,Sudoeste BrasLia,American Burger,Brazilian RealR
7303219,30,-43.377,-23.0115,140,0,0,0,0,4,4,Green,Very Good,7,Pesqueiro Eco Gourmet,Rio De Janeiro,Praia Da Barra Da Tijuca Avenida LCio Costa Ilha 25 Barra Da Tijuca Rio De Janeiro,Barra Da Tijuca,Barra Da Tijuca Rio De Janeiro,Seafood Bar Food Brazilian,Brazilian RealR
7304307,30,-43.178826,-22.905293,100,0,0,0,0,4,4.8,Dark Green,Excellent,29,Confeitaria Colombo,Rio De Janeiro,Rua GonAlves Dias 32 Centro Rio De Janeiro,Centro,Centro Rio De Janeiro,Desserts Cafe,Brazilian RealR
7301215,30,-43.18669167,-22.97207222,60,0,0,0,0,3,4.7,Dark Green,Excellent,24,Bibi,Rio De Janeiro,Rua Santa Clara 36 Copabana Rio De Janeiro,Copacabana,Copacabana Rio De Janeiro,Juices Healthy Food,Brazilian RealR
7300596,30,-43.17583333,-22.96216667,90,0,0,0,0,3,4.5,Dark Green,Excellent,29,Cervantes,Rio De Janeiro,Avenida Prado Junior 335 B Copacabana Rio De Janeiro,Copacabana,Copacabana Rio De Janeiro,Beverages Bar Food Fast Food,Brazilian RealR
7300612,30,-43.176,-22.96516667,170,0,0,0,0,4,4.2,Green,Very Good,11,Amir,Rio De Janeiro,Rua Ronald De Carvalho 55 Copacabana Rio De Janeiro,Copacabana,Copacabana Rio De Janeiro,Lebanese,Brazilian RealR
7300704,30,-43.191,-22.98683333,60,0,0,0,0,3,4.8,Dark Green,Excellent,19,Tt Burger,Rio De Janeiro,Galeria River Rua Francisco Otaviano 67 Copacabana Rio De Janeiro,Galeria River Copacabana,Galeria River Copacabana Rio De Janeiro,Burger,Brazilian RealR
7300955,30,-43.227042,-22.973507,100,0,0,0,0,4,4.9,Dark Green,Excellent,40,Braseiro Da GVea,Rio De Janeiro,PraA Santos Dumont 116 GVea Rio De Janeiro,GVea,GVea Rio De Janeiro,Brazilian Bar Food,Brazilian RealR
7300521,30,-43.211425,-22.98520833,90,0,0,0,0,3,4.6,Dark Green,Excellent,21,Balada Mix,Rio De Janeiro,Rua AnBal De MendonA 37 Ipanema Rio De Janeiro,Ipanema,Ipanema Rio De Janeiro,Brazilian Healthy Food Juices Pizza,Brazilian RealR
7300515,30,-43.203,-22.98533333,120,0,0,0,0,4,4.9,Dark Green,Excellent,49,Garota De Ipanema,Rio De Janeiro,Rua Vinicius De Moraes 49 Ipanema Rio De Janeiro,Ipanema,Ipanema Rio De Janeiro,Brazilian Bar Food,Brazilian RealR
7300483,30,-43.20520833,-22.98531944,170,0,0,0,0,4,4.6,Dark Green,Excellent,21,Zaz Bistr Tropical,Rio De Janeiro,Rua Joana AngLica 40 Ipanema Rio De Janeiro,Ipanema,Ipanema Rio De Janeiro,Brazilian,Brazilian RealR
7301064,30,-43.219563,-22.966647,90,0,0,0,0,3,4.3,Green,Very Good,14,Fil De Ouro,Rio De Janeiro,Rua Jardim BotNico 731 Jardim BotNico Lagoa Rio De Janeiro,Lagoa,Lagoa Rio De Janeiro,Brazilian,Brazilian RealR
7304312,30,-43.34879167,-22.99991111,150,0,0,0,0,4,4,Green,Very Good,5,DOC Ristorante,Rio De Janeiro,Le Monde Bloco 3 Lojas AB Avenida Das AmRicas 3500 Barra Da Tijuca Rio De Janeiro,Le Monde Barra Da Tijuca,Le Monde Barra Da Tijuca Rio De Janeiro,Italian,Brazilian RealR
7300004,30,-43.227,-22.98416667,250,0,0,0,0,4,4.6,Dark Green,Excellent,25,Sushi Leblon,Rio De Janeiro,Rua Dias Ferreira 256 Leblon Rio De Janeiro,Leblon,Leblon Rio De Janeiro,Japanese,Brazilian RealR
7300868,30,-43.22566667,-22.98516667,120,0,0,0,0,4,4.4,Green,Very Good,13,Talho Capixaba,Rio De Janeiro,Avenida Ataulfo De Paiva 1022 Lojas A E B Leblon Rio De Janeiro,Leblon,Leblon Rio De Janeiro,Bakery Sandwich Brazilian,Brazilian RealR
7302637,30,-43.17279167,-22.963925,40,0,0,0,0,2,4.2,Green,Very Good,7,Leme Light,Rio De Janeiro,Rua Gustavo Sampaio 798 Leme Rio De Janeiro,Leme,Leme Rio De Janeiro,Brazilian,Brazilian RealR
7302140,30,-43.17126389,-22.96337222,250,0,0,0,0,4,4.2,Green,Very Good,8,Shirley,Rio De Janeiro,Rua Gustavo Sampaio 610 Leme Rio De Janeiro,Leme,Leme Rio De Janeiro,Brazilian Seafood,Brazilian RealR
7305048,30,-43.341164,-22.870413,70,0,0,0,0,3,0,White,Not Rated,1,Quiosque Chopp Brahma,Rio De Janeiro,Madureira Shopping  Loja 289290 Piso 2 Estrada Do Portela 222 Madureira Rio De Janeiro Rj,Madureira,Madureira Rio De Janeiro,Bar Food Brazilian,Brazilian RealR
7302898,30,-43.18736944,-22.92481389,300,0,0,0,0,4,4.7,Dark Green,Excellent,44,AprazVel,Rio De Janeiro,Rua AprazVel 62 Santa Teresa Rio De Janeiro,Santa Teresa,Santa Teresa Rio De Janeiro,Brazilian,Brazilian RealR
7302859,30,-43.21551111,-22.91370833,85,0,0,0,0,3,4.6,Dark Green,Excellent,24,Aconchego Carioca,Rio De Janeiro,Rua BarO De Iguatemi 379 Tijuca Rio De Janeiro,Tijuca,Tijuca Rio De Janeiro,Brazilian Bar Food,Brazilian RealR
7301700,30,-43.16266667,-22.94783333,80,0,0,0,0,3,4.3,Green,Very Good,10,Garota De Ipanema,Rio De Janeiro,Avenida JoO Alves 56 Urca Rio De Janeiro,Urca,Urca Rio De Janeiro,Brazilian Bar Food,Brazilian RealR
6706313,30,-46.64516667,-23.55066667,250,0,0,0,0,4,4.5,Dark Green,Excellent,49,Cantina Famiglia Mancini,SO Paulo,Rua Avanhandava 81 Bela Vista SO Paulo 10000,Bela Vista Centro,Bela Vista Centro SO Paulo,Italian Pizza,Brazilian RealR
6704326,30,-46.64633333,-23.559,250,0,0,0,0,4,4.4,Green,Very Good,17,Templo Da Carne  Marcos Bassi,SO Paulo,Rua Treze De Maio 668 Bela Vista SO Paulo 01327000,Bela Vista Centro,Bela Vista Centro SO Paulo,Steak Bbq,Brazilian RealR
6711179,30,-46.65866667,-23.55616667,70,0,0,0,0,3,3.1,Orange,Average,5,Gopala Hari,SO Paulo,Rua Antonio Carlos 429 ConsolaO SO Paulo,ConsolaO,ConsolaO SO Paulo,Indian,Brazilian RealR
6702797,30,-46.657523,-23.55671,100,0,0,0,0,4,4.1,Green,Very Good,15,Jiquitaia,SO Paulo,Rua AntNio Carlos 268 ConsolaO SO Paulo,ConsolaO,ConsolaO SO Paulo,Brazilian,Brazilian RealR
6700475,30,-46.666851,-23.581688,300,0,0,0,0,4,4.8,Dark Green,Excellent,59,Skye  Hotel Unique,SO Paulo,Hotel Unique Avenida Brigadeiro LuS AntNio 4700 Jardim Paulista SO Paulo,Hotel Unique Jardim Paulista,Hotel Unique Jardim Paulista SO Paulo,Beverages International,Brazilian RealR
6713413,30,-46.67511,-23.582135,120,0,0,0,0,4,4.6,Dark Green,Excellent,30,Les 3 Brasseurs,SO Paulo,Rua JesuNo Arruda 470 Itaim Bibi SO Paulo,Itaim Bibi,Itaim Bibi SO Paulo,French Brazilian Beverages,Brazilian RealR
6714340,30,-46.683888,-23.585324,75,0,0,0,0,3,3.9,Yellow,Good,5,Red Steak  Burger,SO Paulo,Rua Tabapu 1417 Itaim Bibi SO Paulo,Itaim Bibi,Itaim Bibi SO Paulo,Brazilian Grill,Brazilian RealR
6710645,30,-46.67566667,-23.581,55,0,0,0,0,2,0,White,Not Rated,0,Cantinho Da Gula,SO Paulo,Rua Pedroso Alvarenga 522 Itaim Bibi SO Paulo Sp,Itaim Bibi,Itaim Bibi SO Paulo,Brazilian,Brazilian RealR
6700402,30,-46.666041,-23.561568,200,0,0,0,0,4,3.4,Orange,Average,73,Paris 6 Classique,SO Paulo,Rua Haddock Lobo 1240 Cerqueira CSar Jardim Paulista SO Paulo,Jardim Paulista,Jardim Paulista SO Paulo,French,Brazilian RealR
6700846,30,-46.657418,-23.571638,120,0,0,0,0,4,3.5,Yellow,Good,9,Kawa Sushi,SO Paulo,Alameda Lorena 300 Jardim Paulista SO Paulo,Jardim Paulista,Jardim Paulista SO Paulo,Sushi Japanese,Brazilian RealR
6702159,30,-46.66983333,-23.5655,300,0,0,0,0,4,4.3,Green,Very Good,39,A Figueira Rubaiyat,SO Paulo,Rua Haddock Lobo 1738 Cerqueira CSar Jardim Paulista SO Paulo 10000,Jardim Paulista,Jardim Paulista SO Paulo,Bbq Grill Brazilian,Brazilian RealR
6711666,30,-46.67133333,-23.59233333,230,0,0,0,0,4,3.9,Yellow,Good,12,Kinoshita,SO Paulo,Rua Jacques FLix 405 Vila Nova ConceiO Moema SO Paulo,Moema,Moema SO Paulo,Sushi,Brazilian RealR
6701257,30,-46.68133333,-23.56483333,120,0,0,0,0,4,4.3,Green,Very Good,68,Meats,SO Paulo,Rua Dos Pinheiros 320 Pinheiros SO Paulo,Pinheiros,Pinheiros SO Paulo,Gourmet Fast Food Burger,Brazilian RealR
6706211,30,-46.64159444,-23.54664167,150,0,0,0,0,4,4.3,Green,Very Good,46,Paribar,SO Paulo,PraA Dom Jos Gaspar 42 RepBlica SO Paulo 10000,RepBlica,RepBlica SO Paulo,Brazilian Italian,Brazilian RealR
6705858,30,-46.643425,-23.545163,400,0,0,0,0,4,4.4,Green,Very Good,37,TerraO ItLia,SO Paulo,EdifCio ItLia  41 Andar Avenida Ipiranga 344 RepBlica SO Paulo,RepBlica,RepBlica SO Paulo,Italian,Brazilian RealR
6701419,30,-46.63716667,-23.5995,65,0,0,0,0,3,0,White,Not Rated,2,Divino FogO,SO Paulo,Shopping Metr Santa Cruz  Piso L2 Rua Domingos De Morais 2564 Vila Mariana SO Paulo,Shopping Metr Santa Cruz Vila Mariana,Shopping Metr Santa Cruz Vila Mariana SO Paulo,Brazilian Mineira,Brazilian RealR
6703956,30,-46.698574,-23.622925,50,0,0,0,0,2,0,White,Not Rated,2,Super Grill,SO Paulo,Shopping Morumbi  Piso Lazer Avenida Roque Petroni JNior 1089 Santo Amaro SO Paulo,Shopping Morumbi Santo Amaro,Shopping Morumbi Santo Amaro SO Paulo,Brazilian,Brazilian RealR
6709580,30,-46.581672,-23.486535,100,0,0,0,0,4,4.4,Green,Very Good,22,Esquina Mocot,SO Paulo,Avenida Nossa Senhora Do Loreto 1104 Vila Medeiros Vila Maria SO Paulo,Vila Maria,Vila Maria SO Paulo,Brazilian North Eastern,Brazilian RealR
6703176,30,-46.63566667,-23.58516667,70,0,0,0,0,3,4.6,Dark Green,Excellent,58,Veloso,SO Paulo,Rua ConceiO Veloso 56 Vila Mariana SO Paulo,Vila Mariana,Vila Mariana SO Paulo,Brazilian Bar Food Beverages,Brazilian RealR
6713772,30,-46.746958,-23.609207,120,0,0,0,0,4,4.1,Green,Very Good,11,Sainte Marie Gastronomia,SO Paulo,Rua Dom JoO Batista Da Costa 70 Vila SNia SO Paulo,Vila SNia,Vila SNia SO Paulo,Lebanese Arabian,Brazilian RealR
17284404,216,-84.221535,31.610387,25,0,0,0,0,2,3.3,Orange,Average,35,AustinS Bbq And Oyster Bar,Albany,2820 Meredyth Dr Albany Ga 31707,Albany,Albany Albany,Bbq Burger Seafood,Dollar
17284203,216,-84.207095,31.608743,10,0,0,0,0,1,3.3,Orange,Average,25,BjS Country Buffet,Albany,2401 Dawson Rd Albany Ga 31707,Albany,Albany Albany,American Bbq,Dollar
17284105,216,-84.154,31.5772,0,0,0,0,0,1,3.4,Orange,Average,34,Cookie Shoppe,Albany,115 N Jackson St Albany Ga 31701,Albany,Albany Albany,,Dollar
17284302,216,-84.2194,31.6158,0,0,0,0,0,1,3.4,Orange,Average,45,El Vaquero Mexican Restaurant,Albany,2700 Dawson Rd Albany Ga 31707,Albany,Albany Albany,Mexican,Dollar
17284397,216,-84.206944,31.622412,10,0,0,0,0,1,3.4,Orange,Average,26,Elements Coffee Co  Northwest,Albany,2726 Ledo Rd Ste 10 Albany Ga 31707,Albany,Albany Albany,Coffee And Tea Sandwich,Dollar
17284211,216,-84.1759,31.5882,0,0,0,0,0,1,3.4,Orange,Average,36,PearlyS Famous Country Cookng,Albany,814 N Slappey Blvd Albany Ga 31701,Albany,Albany Albany,,Dollar
17284094,216,-84.2193,31.616,10,0,0,0,0,1,3.5,Yellow,Good,67,ChickFilA,Albany,2703 Dawson Rd Albany Ga 31707,Albany,Albany Albany,Fast Food,Dollar
17284409,216,-84.2091458,31.6155186,10,0,0,0,0,1,3.9,Yellow,Good,141,Guang Zhou Chinese Restaurant,Albany,1214 N Westover Blvd Albany Ga 31707,Albany,Albany Albany,Asian Chinese Vegetarian,Dollar
17284139,216,-84.205718,31.604905,25,0,0,0,0,2,3.7,Yellow,Good,147,Harvest Moon,Albany,2347 Dawson Road Albany Ga 31707,Albany,Albany Albany,Pizza Bar Food Sandwich,Dollar
17284403,216,-84.223278,31.612121,70,0,0,0,0,4,3.5,Yellow,Good,51,Henry CampbellS Steakhouse,Albany,629 N Westover Blvd Albany Ga 31707,Albany,Albany Albany,Steak Tapas Bar Food,Dollar
17284145,216,-84.2191,31.6156,25,0,0,0,0,2,3.6,Yellow,Good,88,Hong Kong Cafe,Albany,2700 Dawson Rd Albany Ga 31707,Albany,Albany Albany,Chinese Seafood Vegetarian,Dollar
17284150,216,-84.212,31.6104,10,0,0,0,0,1,3.8,Yellow,Good,153,House Of China Restaurant Ii,Albany,2526 Dawson Rd Ste A Albany Ga 31707,Albany,Albany Albany,Chinese,Dollar
17284158,216,-84.1534,31.5751,10,0,0,0,0,1,3.9,Yellow,Good,160,JimmieS Hot Dogs,Albany,204 S Jackson St Albany Ga 31701,Albany,Albany Albany,,Dollar
17284175,216,-84.2228,31.6077,25,0,0,0,0,2,3.5,Yellow,Good,57,Locos Grill  Pub,Albany,547 N Westover Blvd Albany Ga 31707,Albany,Albany Albany,American Burger Sandwich,Dollar
17284179,216,-84.2229,31.6185,25,0,0,0,0,2,3.5,Yellow,Good,58,Longhorn Steakhouse,Albany,2733 Dawson Rd Albany Ga 31707,Albany,Albany Albany,American Steak,Dollar
17284197,216,-84.2164,31.6137,40,0,0,0,0,3,3.6,Yellow,Good,115,Mikata Japanese Steakhouse,Albany,2610 Dawson Rd Albany Ga 31707,Albany,Albany Albany,Japanese Steak Sushi,Dollar
17284241,216,-84.2233,31.6118,40,0,0,0,0,3,3.5,Yellow,Good,51,Shogun Japanese Steak House,Albany,629 N Westover Blvd Albany Ga 31707,Albany,Albany Albany,Japanese Steak Sushi,Dollar
17284390,216,-84.205025,31.605882,40,0,0,0,0,3,3.8,Yellow,Good,250,The Catch Seafood Room  Oyster Bar,Albany,2332 Whispering Pines Road Albany Ga 31707,Albany,Albany Albany,Seafood Tapas Bar Food,Dollar
17284279,216,-84.1757,31.5985,10,0,0,0,0,1,3.7,Yellow,Good,117,Villa Gargano,Albany,1604 N Slappey Blvd Albany Ga 31701,Albany,Albany Albany,Italian Pizza,Dollar
17284364,216,-83.8389,31.5308,10,0,0,0,0,1,3.4,Orange,Average,20,3 Squares Diner,Albany,202 W Franklin St Sylvester Ga 31791,Sylvester,Sylvester Albany,American Breakfast Diner,Dollar
